customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
1,Mrs. Wendy Ramirez,qhart@example.net,Colombia,2022-04-21,Standard,1621.31
2,Gary Garcia,bholder@example.org,Lebanon,2025-03-09,Basic,8843.53
3,Erika Moon,yherrera@example.org,Hungary,2020-11-14,Standard,2328.79
4,Andrea Brown,maria05@example.net,Bahamas,2020-09-05,Premium,9189.27
5,Eric Grant,sawyerhector@example.com,Martinique,2025-06-05,Basic,9168.16
6,Stephanie Rowe MD,dfreeman@example.org,Myanmar,2025-09-14,Premium,1183.53
7,Alfred Gross,nolancarlos@example.net,Luxembourg,2025-11-27,Premium,9440.97
8,Daniel Newman,stevenhunter@example.net,Saint Vincent and the Grenadines,2020-03-06,Standard,3041.89
9,Dylan Gill,erictrujillo@example.net,Guadeloupe,2022-06-07,Standard,9854.93
10,Rebecca Collins,greyes@example.org,Bosnia and Herzegovina,2022-08-27,Standard,2384.59
11,Clayton Marks,johnsandoval@example.com,Congo,2020-11-11,Premium,4244.45
12,Kristen Hopkins,chambersdouglas@example.org,Bulgaria,2025-03-09,Standard,1541.87
13,Heather Rodriguez,parkernolan@example.org,Hungary,2023-11-15,Premium,1459.85
14,Joseph Guerrero,mwagner@example.org,El Salvador,2024-10-04,Standard,3511.60
15,Jennifer Zamora,sarahmathews@example.org,France,2025-03-07,Premium,3361.82
16,Gary Thomas,skinnerwendy@example.com,Namibia,2025-02-09,Premium,3108.69
17,Dominique Wood,gonzalesdylan@example.org,Suriname,2022-01-09,Standard,6250.10
18,Lori Gilbert,kellie84@example.org,Gibraltar,2024-02-21,Basic,2262.60
19,Walter Scott,edwardsdale@example.org,Liberia,2022-04-26,Standard,9530.62
20,Travis Hess,benjaminbutler@example.org,Saint Martin,2021-04-16,Basic,5382.05
21,Chelsea Brown,eevans@example.com,Tunisia,2021-02-20,Standard,1944.67
22,Amanda Carr,hesserin@example.net,Moldova,2025-11-10,Standard,9872.94
23,Robert Smith,jessicalucero@example.org,Suriname,2021-05-13,Basic,1332.58
24,Mark Hill,pearsonrobert@example.net,Palestinian Territory,2023-04-15,Premium,9302.79
25,John Salazar,cynthiamorgan@example.net,Ethiopia,2022-12-02,Basic,1960.12
26,Dr. Laura Hood,cruzsheri@example.org,Qatar,2022-07-08,Premium,4674.91
27,Michael Williams,christopher02@example.net,Congo,2025-10-19,Basic,9043.82
28,Nancy Gibson,jordancasey@example.org,Sweden,2020-01-14,Standard,3290.71
29,Sarah Smith,matthewwelch@example.net,Mali,2023-10-12,Standard,3724.83
30,Larry Lopez,torresvanessa@example.net,Malaysia,2024-01-07,Standard,8878.61
